Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
28,0,8.381225e-05,+,2e-05,0.000810727915398889,2.20503646393829,Increase
32,0,0.00264597175,+,0.044085,0.0263155181389495,0.404928558339506,Increase
32,1,0.000220564875,+,0.221155714285714,0.428397741728027,0.131732173395309,NS
32,2,0.000840533875,+,0.276492,0.45256791442515,0.950774456206576,NS
34,0,0.000313413875,-,2e-05,0.00713376340687498,-0.629297913121058,Decrease
34,1,0.001445182125,-,0.48603,0.903789738556362,-0.0160986645982597,NS
34,2,0.001045929875,+,0.119755384615385,0.0290580604149983,0.311836615587227,NS
34,3,0.000109201,-,0.3212325,0.0190528520383239,-0.966853106788161,NS
36,1,0.00027812625,-,2e-05,0.000810727915398889,-0.839270573955055,Decrease
36,2,0.001651492125,+,0.452054117647059,0.563111730728248,0.106426210213114,NS
36,3,0.001989264875,+,0.044085,0.0263155181389495,1.14142559318126,Increase
36,4,0.001623355375,+,0.044085,0.0290580604149983,1.05524034553766,Increase
38,4,0.00603210525,+,2e-05,0.0263155181389495,0.255089731136831,Increase
38,5,3.61e-05,+,1,0.0290580604149983,-0.246374713225753,NS
38,6,0.00209728075,+,2e-05,0.000810727915398889,0.893933430421813,Increase
40,4,0.000166093375,+,2e-05,0.00161313954070732,0.815049468655593,Increase
40,5,0.00031105225,+,2e-05,0.000135042443392065,1.22677755212734,Increase
40,6,0.001039179,+,2e-05,0.00399850062334665,0.63114964319156,Increase
